index,question,answer,subject
2490,האם סבוריאה היא תופעה שכיחה?,"2% עד 3% מאוכלוסיית העולם סובלים מסבוריאה. בצורתה הקלה יותר - קשקשים בקרקפת - המחלה נפוצה עוד יותר, ומוצאים אותה אצל 15%",סבוריאה
2491,איך מבדילים בין סבוריאה לבין בעיות עור אחרות?,"סבוריאה עשויה להידמות לפסוריאזיס, אך יש כמה הבדלים בולטים ביניהן:• בפסוריאזיס קיימים רבדים אדמדמים המכוסים בקשקשים בגוון לבן־כסוף, וקיים גבול חד בין הקשקשים של הפסוריאזיס לבין העור התקין.• לעומת זאת, בסבוריאה הקשקשת היא עדינה יותר, והגבול של הקשקשים מתמזג באופן הדרגתי עם העור, בניגוד לגבול הברור שבין עור תקין לבין עור שנגוע בפסוריאזיס.• בפסוריאזיס מופיעים קשקשים במקומות שונים לחלוטין מהמקומות שבהם מופיעים קשקשי הסבוריאה.  למשל, קשקשי פסוריאזיס ניתן למצוא באיברי המין, במרפקים ובברכיים. במקרים רבים הפסוריאזיס מופיעה גם בציפורניים.אבחנות נוספות שבאות בחשבון הן פטרת של הפנים, פטרת של הקרקפת (גזזת) וזאבת (שבאה לידי ביטוי בפריחה דמוית פרפר).קשה יותר להבחין בין סבוריאה לבין רוזצאה. במקרים נדירים ביותר, בייחוד באנשים הנמצאים בסיכון מוגבר, עלולה הופעה חדשה של סבוריאה להעיד גם על איידס.במקרים שבהם חושד הרופא שמדובר במחלת עור אחרת שהיא דמוית סבוריאה, הוא ישקול לשלוח את המטופל לעשות משטח או ",סבוריאה
2492,האם סבוריאה מסוכנת?,"סבוריאה לכשעצמה אינה מסוכנת, אבל תסמיני המחלה - אודם וקשקשים, בעיקר בקרקפת - דומים לתסמיני מחלות אחרות, וקיים החשש שאבחון לקוי יעכב את מתן הטיפול הנכון.לכן מומלץ במקרה של הופעת אודם וקשקשים להימנע מאבחון עצמי ולהיבדק אצל רופא עור. זה יאבחן את המחלה וישלול (או יאשר) שמדובר במחלת עור אחרת.אצל חולי איידס יש שכיחות מוגברת של סבוריאה, ולכן כאשר מופיעה פריחה חדשה דמוית סבוריאה אצל מי שמצויים בסיכון להידבק בנגיף האיידס, עליהם לעשות בדיק",סבוריאה
2493,איך מטפלים בסבוריאה?,"הטיפול במרבית המקרים הוא בתכשירים מקומיים או בשמפו. סבוריאה במבוגרים היא מצב כרוני, ולעיתים קרובות יש צו",סבוריאה
2494,מהו הטיפול בסבוריאה בקרקפת?,"קיימים כמה תכשירים לטיפול בסבוריאה - חלקם במרשם רופא וחלקם ללא מרשם. המוצרים ללא מרשם כוללים גם מותגי שמפו שונים לטיפול בקשקשים.הנה כמה דוגמאות לתכשירים נפוצים:• שמפו אגיספור.• שמפו אלפוסיל.• קרם ניזורל.• סבוסל.• שמפו הד אנד שולדרס.השימוש בתכשירים האלה הוא יום־יומי או לסירוגין (יום כן, יום לא) למשך כמה שבועות. לאחר מכן ניתן להפחית את תדירות הטיפול לפעם בשבוע.יש לעסות כמות קטנה (5 עד 10 מיליליטר) של השמפו על הקרקפת הרטובה, להשאיר אותו על הקרקפת למשך כמה דקות ולבסוף לשטוף אותו היטב מהשיער.ניתן להשתמש בתכשירים כל עוד יש בהם צורך. אם סוג מסוים של שמפו אינו עוזר, ואין שיפור בתסמינים בתוך 4 עד 6 שבועות, ניתן ל",סבוריאה
2495,איך מטפלים בסבוריאה בפנים ובגוף?,"הטיפול בסבוריאה מבוסס על תכשירים נוגדי פטריות כמו קרם ניזורל (מכיל קטוקונזול) וכמו קרם ביפונזול (השם המסחרי: אגיספור).ניתן להשתמש גם בקרמים המכילים סטרואידים מקומיים עדינים או לשלב סטרואיד מקומי עם תכשיר נוגד פטרת, אך אסור להשתמש בסטרואידים באופן קבוע, אלא רק לסירוגין.למי שסובלים מסבוריאה אסור להשתמש בתכשירים סטרואידיים חזקים באזור הפנים (כמו דרמובט) מכיוון שמדובר במחלה כרונית, ושימוש ממושך בתכשירים כאלה עלול לגרום לתופעות לוואי כמו שיעור יתר והופעת עור שנראה כאילו הזדקן טרם זמנו.בשימוש בסטרואידים מקומיים תיתכן צמיחה של נימיות דם עדינות באזור המטופל.כשמדובר בסבוריאה משמעותית יותר, ניתן לטפל בה באמצעות כדורים מסוגים שונים. את הטיפול הז",סבוריאה
2496,האם גם תינוקות סובלים מסבוריאה?,"סבוריאה בתינוקות היא מחלה נפוצה מאוד, אך אצלם היא חולפת בדרך כלל בגיל 8 עד 12 חודשים - גם ללא טיפול.בתינוקות עלולה הסבוריאה להיגרם בעקבות מעבר של הורמונים מהאם זמן מה לפני הלידה.פרופ' ארנון כהן הוא מומחה ברפואת עור ומין בכללית* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש",סבוריאה
2497,בדיקה סרולוגית היא בדיקת דם שמגלה האם הנבדק חלה בעבר במחלה מסוימת. מי יכולים לעשות בדיקה סרולוגית לקורונה? מה משמעות התוצאות? איך צופים בהן?,פרופ' שי בן שחר,בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2498,מהי בדיקה סרולוגית?,זוהי בדיקת דם לגילוי נוכחות של נוגדנים בדם למחוללי מחלות שונים. קיום של נוגדנים מעיד על כך שהנבדק חלה בעבר במחלה. בהקשר של קורונה מיועדת הבדיקה לגלות נוגדנים לנגיף הקורונה.לפי הנתונים הקיימים כיום הבדיקות הסרולוגיות לגילוי נוגדנים לקורונה אינן נחשבות כלי אמין לקביעת רמת ההגנה נגד הדבקה - לא לאחר החלמה מקורונה ולא ל,בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2499,הבדיקה מגלה אם נדבקתי שלשום בנגיף הקורונה?,"לא. הבדיקה מסוגלת לגלות חשיפות בנות שבועיים ויותר. הסיבה לכך היא שהגוף נזקק לכשבועיים כדי לייצר נוגדנים לנגיף. הידבקות טרייה מגלים באמצעות בדיקת קורונה רגילה (בדיקת PCR) שיכולה לזהות את נוכחות הנגיף עצמו בגוף.לכן, אם מישהו נחשף לחולה מאומת - אין טעם לעשות בדיקה סרולוגית לפני שחלפו לפחות 21 ימים מאז החשיפה האחרו",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2500,מהי המשמעות של תוצאות הבדיקה הסרולוגית?,"תוצאה חיוביתאם מוצאים נוגדנים בדמו של מטופל יודעים כמעט בוודאות (יותר מ־99%) שהוא נחשף בעבר לנגיף הקורונה.תוצאה שליליתהמשמעות היא שלא נמצאו נוגדנים לנגיף הקורונה החדש. תוצאה שלילית אינה שוללת בהכרח חשיפה לנגיף הקורונה בעבר מכיוון שבחלק מהמקרים הנוגדנים נעלמים עם הזמן או שאינם נוצרים כלל.תוצאה ""שלילי לצורך הגדרת מחלים""אי אפשר לקבוע בוודאות נוכחות או היעדר של נוגדנים נגד קורונה, ולכן הנבדק א",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2501,"מי ש""חיובי"" בבדיקה הסרולוגית מחוסן מפני קורונה?","עדיין אין תשובה חד־משמעית לשאלה הזאת. קיימת הערכה כי כמעט כל מי שנדבק בקורונה - ואין זה משנה אם היו לו סימפטומים או שלא היו לו סימפטומים - מחוסן בפני המחלה.אין שום הערכה בנוגע למשך החיסון, וכן אין מידע האם החיסון שנוצר הוא מוחלט או חלקי או חסר משמעות מבחינת ",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2502,האם מי שיש לו נוגדנים לקורונה יכול להדביק אחרים במחלה?,הנוגדנים רק מראים על זיהום שהיה קיים בעבר. רק מעטים מאוד מאלה שאצלם מגלים נוגדנים נדבקו בקורונה זמן לא רב לפני הבדיקה ועלולים עדיין לשאת את הנגיף ולהיות מידבקים.מבחנות של בדיקות סרולוגיות,בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2503,קיבלתי תוצאה חיובית בבדיקה הסרולוגית לקורונה. האם יש לי פטור מבידוד?,"תוצאה חיובית של בדיקה סרולוגית (בדיקת נוגדנים בדם), כולל בדיקה סרולוגית מהירה, שבוצעה בהתאם לפרוטוקול של משרד הבריאות, מזכה בתעודת החלמה, בתנאי שלא ניתנה מנת חיסון ל",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2504,האם כל אחד יכול לעשות בדיקה סרולוגית?,"לא, הבדיקה עשויה להינתן לאוכלוסיות מסוימות - אך ורק לפי שיקול הצוות הרפואי.הבדיקה הסרולוגית נועדה לצורך מחקר ולצורך זיהוי מחלימים שלא נבדקו בזמן המחלה או שמחלתם לא אותרה באמצעות בדיקת PCR (בדיקת מטוש).מי שמשתייכים לאוכלוסיות הבאות עשויים לקבל הפניה לבדיקת נוגדנים:• מי שחוזרים מחו""ל ושחלו בחו""ל בקורונה, לצורך אישוש האבחנה ושחרור מבידוד.בכל מקרה, אין לבצע את הבדיקה הסרולוגית במצבים הבאים:• אם קיימים תסמינים לקורונה.• אם הנבדקים ידועים כמחלימים מקורונה בישראל (יש להם כבר תוצאה חיובית לבדיקת מטוש).• אם הנבדקים חוסנו נגד קורונה.לפי הנחיות משרד הבריאות, לא תינתן יותר מבדיקה סרול",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2505,איפה אני צופה בתוצאות הבדיקה הסרולוגית?,"אם עשית בדיקה סרולוגית בכללית, התוצאות שלך יופיעו בכללית און־ליין - בשירות ""תוצאות בדיקות מעבדה"" בת",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2506,האם לפני קבלת החיסון נגד קורונה כדאי לעשות בדיקה סרולוגית?,"אין המלצה כזאת, וגם אין צורך בכך.• לתשובות לכל השאלות החשובות על החיסון ",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2507,התחסנתי נגד קורונה. האם מומלץ לי לעשות בדיקה סרולוגית?,אין סיבה מוצדקת לבדוק את רמת הנוגדנים לאחר החיסון (אלא במסגרת מחקר). זאת מכיוון שהערכות המשמשות לבדיקת הנוגדנים למחלימים מקורונה אינן נחשבות כלי אמין לזיהוי רמת ההגנה,בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2508,החלמתי מקורונה. האם מומלץ לי לעשות בדיקה סרולוגית?,"לפי משרד הבריאות, בשלב הזה מומלץ שלא לעשות בדיקות סרולוגיות למחלימים כדי להעריך את מידת ההגנה מהדבקה חוזרת (אלא במסגרת מחקר).הסיבה: מחלים נחשב מחוסן בלי קשר לרמת הנוגדנים. כלומר, מי שהוגדרו מחלימים ייחשבו מחוסנים גם אם יקבלו תוצאת שלילית בבדיקה הסרולוגית. לפי הנתונים הנוכחיים סביר להניח שההחלמה מנגיף הקורונה מספקת הגנה מפני מחלה חוזרת גם ללא רמת נוגדנים שניתנת למדידה",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2509,נמצאתי חיובי בבדיקה סרולוגית ולאחר זמן מה הופיעו לי תסמינים של קורונה. מה לעשות?,"אומנם מצב של הדבקה חוזרת בקורונה הוא נדיר מאוד, אך היו מקרים כאלה שדווחו. בכל חשד קליני להידבקות בנגיף הקורונה, גם בקרב מחלימים, מומלץ לעשות בדיקת מטוש לקורונה.הסקר הסרולוגי לנגיף הקורונהבחודשים יולי עד ספטמבר 2020 ערך משרד הבריאות סיקור סרולוגי לאומי כדי לבדוק את הימצאותם של נוגדנים לנגיף הקורונה באוכלוסיית ישראל. הסקר הסרולוגי כלל כ־55,000 נבדקים. מתוצאות הסקר עולה כי שיעור ההימצאות של נוגדנים לקורונה באוכלוסיית המדגם הוא 3.8% (5.5% לאחר השוואת המשתנים לשיעורם באוכלוסייה הכללית בישראל). למידע נוסף על תוצאות הסקר הסרולוגי.במהלך הגל הראשון נעשה סקר סרולוגי אקראי בבני ברק במסגרת פרויקט משותף של הלשכה המרכזית לסטטיסטיקה, של משרד הבריאות, של מכון גרטנר ושל עיריית בני ברק.משרד הבריאות עשוי לערוך סקרים סרולוגיים נוספים בעתיד.פרופ' שי בן שחר הוא מנהל המחלקה לרפואה מותאמת אישית גנומית בכללית ובמכון כללית למחקר, מערך החדשנות* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש",בדיקה סרולוגית לקורונה (בדיקת נוגדנים)
2510,"אם מגרד לך בפות ויש לך הפרשות צהובות־ירוקות מהנרתיק, אולי נדבקת בטריכומונס. הטפיל הזה עובר במגע מיני, גורם לדלקת טריכומוניאזיס ואינו פוסח גם על הגברים. איך מאבחנים טריכומוניאזיס? ואיך מטפלים בה?",,מחלות מין
2512,מה קורה בגוף בזמן נשימה רגילה?,"בנשימה רגילה ושקטה אנחנו שואפים לריאות שלנו 500 עד 600 מיליליטר של אוויר. האוויר עובר דרך האף ודרך הפה אל דרכי האוויר העליונות (הקנה והסימפונות) ומגיע אל בועיות הריאה, שהן שקיות קטנות שבהן נעשה חילוף הגזים בין האוויר לדם. הדרך מהנחיריים ומהשפתיים אל בועית הריאה ארוכה למדי, ובכל שלב בדרך עלולה להשתבש הזרימה הח",קוצר נשימה
2513,מהו קוצר נשימה?,"קוצר נשימה (באנגלית: דיספנאה, Dyspnea) הוא מצב שבו מתקשים לספק די אוויר לגוף וחשים תחושת מחנק. זהו תסמין מפחיד למי שחווה אותו בפעם הראשונה.זהו מצב שבו קיימת הפרעה אובייקטיבית או סובייקטיבית בתהליך הנשימה השגרתי והאוטומטי. קוצר נשימה יכול להתבטא בתסמינים (תחושות שהאדם מתאר) או בסימנים אובייקטיביים ",קוצר נשימה
2514,מהם התסמינים המעידים על קושי נשימה משמעותי?,"מי שסובל מקוצר נשימה משמעותי מתלונן קודם כול על כך שהוא אינו יכול לנשום. הוא מתאמץ בכל שאיפה, ונוסף על התהליך הרגיל הכרוך בנשימה הוא מפעיל שרירי עזר ומנסה לשאוף אוויר רב יותר. גם בנשיפה הוא מתאמץ ומכווץ את שפתיו. במצוקת נשימה חמורה שרירי הצוואר בולטים, נחירי האף מורחבים, העור מ",קוצר נשימה
2515,האם קוצר נשימה יכול לגרום לשינויים בהתנהגות?,"המוח מושפע מיד מהמחסור בחמצן ומהעלייה ברמת הפחמן הדו־חמצני. במצב קיצוני מי שסובל מקוצר נשימה ייראה כחלחל ויגיב באי־שקט, בבלבול מוחלט ולעיתים אף ב",קוצר נשימה
2516,האם שכיבה יכולה להקל על קוצר נשימה?,"בדיוק להפך: כשיש קוצר נשימה, קשה לשכב. הישיבה מקילה על הנשימה, כיוון שהסרעפת יורדת, ואפשר להרים את הצלעות ולהגדיל את ה",קוצר נשימה
2517,האם יש מדד מדויק להערכת קוצר הנשימה?,"המדד הרגיש והטוב כדי להעריך מצוקת נשימה הוא קצב הנשימה ועומק הנשימה.אדם מבוגר נושם במצב רגיל 12 עד 16 נשימות בדקה. האוויר נשאף במשך כשתי שניות, ואחרי הפסקה של כשנייה הוא ננשף לאיטו. בפרק הזמן הזה מספיק האוויר הטרי להיכנס לריאה, והאוויר הזקוק להחלפה מספיק להיפלט החוצה.אם קצב הנשימה מגיע ל־30 או ל־40 נשימות בדקה במנוחה, ברור שמשהו מפריע לתהליך הנשימה.הנשימה התקינה היא תהליך שקט שאינו כרוך במאמץ, אבל מי שסובל מקוצר נשימה מתאמץ מאוד להחדיר ולו אוויר מועט לריאותיו: הוא מאמץ את שרירי בית החזה כדי לנסות להגדיל את נפח בית החזה, הוא מאמץ את שרירי הצוואר, ונחיריו מתרחבים עם ",קוצר נשימה
2518,מהי המשמעות של קצב נשימה איטי מהרגיל?,"קצב נשימה איטי מאוד, פחות מ־6 עד 7 נשימות בדקה, מעיד על דיכוי נשימה והוא סימן אזהרה משמעותי. הקצב יורד בעיקר בשל השפעה של תרופות על מרכז הנשימה במוח - לרוב תרופות חזקות לשיכוך כאבים כמו מורפין. גם חבלה מוחית ולחץ שנוצר בגולגולת כתוצאה מהצטברות דם או נוזלים עלולים לגרום לירידה בתדירות הנשימה.קוצר נשימה חריף וכרונייש שני סוגים של קוצר נשימה: חריף וכרוני.קוצר נשימה חריףקוצר נשימה חריף מתפתח במהירות, בתוך דקות עד ימים, ועלול להיות מסכן חיים. אלה הם הגורמים השכיחים לקוצר נשימה חריף:1. זיהומים בקטריאליים, זיהומים פטרייתיים וזיהומים נגיפיים של דרכי האוויר ושל הריאות. למחלות האלה מתלווים חום, שיעול, פליטת ליחה מוגלתית ואי־שקט. קורונה היא דוגמה לזיהום נגיפי שעלול לתקוף את דרכי האוויר ואת הריאות ולגרום לקוצר נשימה ואף לאי־ספיקה נשימתית.2. תגובה אלרגית קשה שמביאה למצב של אנפילקסיס מופיעה בסמוך לחשיפה לחומר כלשהו (תרופה, מאכל וכדומה) ומלוּוה בדרך כלל בגרד, בנפיחות של העור ולעיתים בצרידות. מצבי החירום האלה מחייבים טיפול מיידי באמצעות מתן אדרנלין תת־עורי ולעיתים החדרה של צינור לקנה הנשימה או פתיחה של מעבר בגרון בניתוח.3. התלקחות חריפה של אסתמה (גנחת הסימפונות) והתלקחות מחלת COPD (פירוט בהמשך).4. חסימה פתאומית של נתיבי האוויר בגלל שאיפה של גוף זר (גרעין, מטבע, אוכל ועוד).5. תסחיף ריאתי אשר גורם לחסימה חלקית או מוחלטת של עורקי הריאה.6. חזה אוויר ספונטני או טראומטי אשר גורם לתמט של הריאה כתוצאה מהצטברות פתאומית של אוויר בין שתי השכבות של קרום הריאה.7. בצקת ריאות - תוצאה של פגיעה פתאומית בכוח הפליטה של שריר הלב (אוטם חריף, הפרעות קצב, עלייה קיצונית בלחץ הדם) - נגרמת בגלל דליפת נוזלים מכלי הדם הריאתיים והצטברותם בבועיות הריאה. הדבר גורם להפרעה ברמת החמצון ומחייב טיפול בגורם שהביא לבצקת נוסף על מתן משתנים דרך הווריד, חמצן ומורפין.קוצר נשימה כרוניקוצר נשימה כרוני מתפתח באיטיות וגורם לסיבוכים ארוכי טווח:1. גנחת סימפונות (אסתמה) שאינה בשליטה.2. מחלת ריאות חסימתית (COPD).3. פגיעה וחולשה בכוח של שריר הלב (קרדיומיופתיה).4. מחלות אינרסטציאליות פיברוטיות של הריאה כמו לייפת. במחלות האלה נפגעת הרקמה הבריאה של הריאה, ואת מקומה תופסת רקמה פיברוטית (צלקתית) בלתי יעילה. התוצאה היא תופעות כמו עלייה במשקל ועל",קוצר נשימה
2519,מהן הסיבות לחסימה בדרכי הנשימה?,"קנה חסום או צר מקשה על מעבר האוויר. הסיבה הנפוצה ביותר לחסימה כזאת היא צניחת הלשון. אפשר לאבחן חסימה כזאת אם בזמן שמנסים לנשום נשמעים קולות המזכירים נחירה בעת שינה. גם נחירה לילית נובעת מחסימה של דרכי הנשימה העליונות - בדיוק כמו באדם שאיבד את הכרתו.במחלות מסוימות, בעיקר במחלות שמשבשות את קרישת הדם, עלולה כל פציעה של הלשון, ואפילו הפציעה הקלה ביותר, להביא להתנפחות קשה שחוסמת את דרכי האוויר.דיפטריה, מחלה קשה שהודברה כמעט כליל הודות לשימוש בחיסון נגדה, הייתה אחת הסיבות השכיחות להפרעות בנשימה. החולים נחנקו מהפרשות צמיגיות רבות שהציפו את גרונם. כיום עלולה דלקת חריפה אחרת בגרון, דלקת של האפיגלוטיס, לחסום את דרכי הנשימה. מצבי חירום כאלה מחייבים החדרת צינור לקנה הנשימה או פתיחת מע",קוצר נשימה
2520,אילו מחלות שכיחות גורמות לקוצר נשימה?,"אסתמה (גנחת הסימפונות) שכיחה יותר בקרב ילדים. מדובר במחלה שמאופיינת בהתקפים שבחלקם עלולים להיות קשים ביותר, וללא טיפול ראשוני מהיר עלול ההתקף להסתיים באסון. הסימפונות של החולה במחלה הזאת מוצרים: קוטרם קטן עקב התכווצות השריר החלק הנמצא בדופנותיהן.""גנחת"" מציינת אפוא את קוצר הנשימה הקשה שהחולה נתון בו: הוא גונח בעת הנשימה. ההתקף עלול להיגרם עקב תגובה אלרגית, אולם ייתכנו גם התקפים שאינם קשורים לתגובה אלרגית, שכן השריר שבדופן הסימפונות רגיש ביותר לכל גירוי שהוא.לאחר התקף חוזרות לרוב הריאות לתפקוד תקין, וקוצר הנשימה חולף.נשימתו של החולה הנתון בהתקף חד (Acute) היא קולנית ומלוּוה בצפצופים ובשריקות, בעיקר בעת פליטת האוויר.בהתקף קשה הוא נוטה לגחון קדימה ולהחזיק בכיסא בכוח ומאמץ מאוד את שרירי הנשימה והחזה. נשימתו מהירה ביותר (יותר מ־30 נשימות בדקה), אך יש שיבוש ניכר בכניסה וביציאה של האוויר מהריאות. מדי פעם הוא נתקף שיעול ופולט ליחה צמיגה. הדופק שלו מהיר (יותר מ־130 פעימות בדקה), הוא אינו שקט, הוא צמא מאוד וחרד.שיעור התמותה בהתקף חריף אינו מבוטל ולמעשה לא פחת עם השנים למרות השיפור בטיפול. אבל כשם שההתקף מתחיל לפתע, כך אפשר להפסיקו בטיפול מהיר ונכון. חשוב לשאול את החולה האם זהו ההתקף הראשון שלו, ואם יש לו תרופות מיוחדות לשימוש בעת התקף.התקף קשה במיוחד, שאינו שוכך למרות הטיפול ועלול להסתיים במוות אם אין מטפלים בו במהירות ובאגרסיביות, נקרא סטטוס אסתמטיקוס. כל הסימנים שתוארו לעיל מופיעים בדרגה חמורה יותר: הרעב לאוויר ומאמץ הנשימה קשים ביותר, האוויר אינו נכנס לריאות, והחולה עלול להגיע למצב של חוסר חמצן.איך מטפלים בהתקף אסתמה קשה?יש לאפשר לחולה לשבת. רצוי לתת לו לנשום חמצן, אם אפשר. מי שנתון בהתקף אינו סובל את מגע המסכה ההדוקה על פניו, והוא נוטה להסיר אותה. רצוי אפוא לתת לו חמצן בדרך אחרת, למשל באמצעות צינור המונח בסמוך לאפו.אם ברשות החולה משאף ייעודי לטיפול בגנחת, כמו ונטולין, יש לאפשר לו לקחת את המנה המותרת בהתאם להוראות. רצוי להרגיע את החולה מילולית בלבד, אך אסור לתת לו שום תרופה להרגעה.במרפאה או בחדר מיון עשויים להתקין עירוי נוזלים, כיוון שהחולה מיובש בדרך כלל. לאחר מתן כליטר נוזלים קטנה הסכנה שהסימפונות ייחסמו בפקק רירי, כיוון שפוחתת צמיגות הריר בדרכי האוויר.מחלת ריאה חסימתית כרונית. האוויר עושה את דרכו לריאות ובחזרה כ־23 אלף פעמים ביממה. אם במקום אוויר נקי וטהור חודר לריאות אוויר רווי בעשן (למשל עשן מכוניות או עשן סיגריות), בגרגירי פחם ובחומרים רעילים אחרים, הוא עלול לגרום נזקים בדופן הסימפונות, להרוס את הבועיות שבריאה עצמה ולגרום למחלה כרונית.מדובר, כאמור, במחלות כרוניות ממושכות שכרוכות בתחלואה רבה ואף בתמותה, שנוטות להחמיר עם הזמן ולהחריף עקב זיהומים וגורמים אחרים.​המספרים המפחידים שמאחורי העשןידעתם שעישון הורג אדם בכל 6 שניות? וזו רק ההתחלה...העישון הוא הגורם העיקרי להתפתחותה של מחלת ריאה חסימתית כרונית (COPD). חלקיקי העשן הקטנים והניקוטין החודרים עד קצה בועית הריאה הורסים את המבנה העדין שלה. במהלך המעבר שלהם בסימפונות הם פוגעים במערכת שמיועדת לסנן את החומרים הזרים, וכתוצאה מכך נוצרת תגובה דלקתית מתמדת. המעשנים מסתכנים גם בהתפתחות של סרטן הריאות.העישון פוגע קשות בתפקוד הרגיל של הריאות, ויתרה מזו - הגוף מתקשה יותר ויותר לעמוד במאמץ פיזי, ואיברי הנשימה מתקשים להתגונן מפני זיהומים. נמצא גם שילדים שסבלו מעישון פסיבי משום שהוריהם עישנו בבית נטו יותר לחלות בזיהומים ובמחלות אחרות.נפחת הריאה (אמפיזמה) - בתהליך הנשימה הרגילה מתרוקנת בועית הריאה מהאוויר בשלב הנשיפה וחוזרת לצורתה המקורית הודות לגמישות הדפנות. בשל כך יכול האוויר לחדור אליה בלי הפרעה בשלב השאיפה.בועיות הריאה של החולה בנפחת הריאות מאבדות את גמישותן, ובסיום שלב הנשיפה חלק ניכר מהאוויר אינו נפלט מהן ונשאר כלוא בריאה. כאשר התהליך הזה נמשך זמן רב, יקבל בית החזה צורה של חבית.בית החזה של החולים אכן גדול ועגול, ומבנה גופם רזה. הגזים אינם מתחלפים בריאותיהם, ורקמות הגוף אינן מקבלות די חמצן. החולים האלה מייצרים המוגלובין בכמות עודפת כדי לנסות להתגבר על חוסר החמצן ברקמות, ולכן פניהם אדמדמות.קוצר הנשימה של החולים האלה הולך וגובר, הם נוטים ללקות בזיהום ריאתי, המעמסה על שריר הלב גוברת, וכתוצאה מכך נפגע השריר עצמו עד כדי התפתחות ",קוצר נשימה
2521,מהי ברונכיטיס כרונית ומה הקשר שלה לקוצר נשימה?,"מי שפלט ליחה כשלושה חודשים בשנה במשך השנתיים האחרונות סובל מברונכיטיס כרונית. הליחה הרבה גורמת גם להופעת התקפי שיעול. בבוקר, לאחר הקימה משנת הלילה, מתחיל התקף של שיעול שמלוּוה בפליטת כיח. בדרך הזאת ""מנקה"" החולה את ריאותיו. המחלה נפוצה בעיקר בקרב מעשנים.הנפחת והברונכיטיס הן שתי צורות חריפות של מחלה הפוגעת בדרכי האוויר ובבועיות הריאה. החולה הזקוק לעזרה יפתח בדרך כלל קוצר נשימה, רעב לאוויר, הפרעות בשינה (התעוררות לעיתים תכופות ונטייה לנמנום במשך היום), פליטת כיח בכמות הולכת וגדלה, כיחלון והרחבה של קצות האצבעות בידיים שנקראת ",קוצר נשימה
2522,האם מחלות לב יכולות לגרום לקוצר נשימה?,"משאבת הלב דוחפת את הדם אל מחזור הדם הגדול דרך אבי העורקים ומעבירה את הדם לריאות דרך כלי הדם הריאתיים.הדם הזורם במשאבה חוזר אליה לסיבוב נוסף: דם מן הגוף מגיע אל העלייה הימנית של הלב, ודם מחומצן היטב חוזר מהריאות אל העלייה השמאלית. שני סוגים של הפרעה בנשימה נובעים מבעיות בלב: פגיעה בצד השמאלי (אם הלב אינו מסוגל לדחוף נפח דם מספיק) ופגיעה בצד הימני (אם הלב אינו מקבל את הדם, והדם מצטבר בריאות).אוטם בשריר הלב, הפוגם ביכולתו של החדר השמאלי להתכווץ, גורם לכך שהחלק של המשאבה שנפגע - כלומר הצד השמאלי של הלב ובעיקר החדר השמאלי - אינו מצליח לרוקן את כל נפח הדם שבתוכו בכל פעימה.הדם שאמור להיכנס מהריאות ללב ממתין בתור שהולך ומתארך, ממש כמו בפקק תנועה. הדם שאינו מצליח להגיע לחלק השמאלי של הלב מצטבר תחילה בכלי הדם המוליכים אל הלב. אם אינו מצליח להתפנות הוא נתקע בריאות, והמים שבדם דולפים לבועיות ומצטברים בהן.הבועיות מתמלאות אפוא במים במקום באוויר, הגזים אינם מתחלפים, והחולה מתקשה בנשימה. נשימתו מהירה ושטחית ונשמעת כמו קומקום רותח. הוא נכנס לאי־שקט, מנסה להתיישב ומזיע זיעה קרה. מצב כזה מכונה בצקת ריאות ומחייב טיפול דחוף, שכולל מתן חמצן ותרופות שגורמות לייבוש הריאות וכן תרופות לשיפור התפקוד של הלב.אם הצד הימני של הלב הוא שנפגע, מתרכז הדם בוורידים משום שאינו מתפנה לריאות. בין השאר ניתן לראות שהווריד הצווארי של החולה תפוח מאוד. המים שבדם ידלפו לרקמות ובכלל זה אל איברי הבטן כמו הכבד והטחול, והם יתמלאו ויתנפחו.פגיעה בצד הימני של הלב אינה גורמת לרוב לחולה להזדקק לטיפול מיידי, אלא מדובר בתהליך כרוני, שבסופו נפגע גם הצד השמאלי עקב העובדה שהצד השמאלי לא מצליח להזרים את הדם לאיברים בגלל ה",קוצר נשימה
